"","source","Div","Date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","Attendance","HHW","AHW","HO","AO","year_short","data_url"
"48","1","SC0","21/10/2023",15:00:00,"Kilmarnock","Livingston",3,1,"H",2,1,"H","C Napier",13,8,5,1,9,10,5,4,2,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"49","1","SC0","21/10/2023",15:00:00,"Rangers","Hibernian",4,0,"H",2,0,"H","D Robertson",23,7,8,1,12,5,5,4,1,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"50","1","SC0","22/10/2023",14:15:00,"Hearts","Celtic",1,4,"A",0,2,"A","N Walsh",13,19,6,7,16,11,3,5,2,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"51","1","SC0","24/10/2023",19:45:00,"Dundee","Ross County",0,0,"D",0,0,"D","C Steven",15,6,9,4,7,13,7,4,1,6,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"52","1","SC0","28/10/2023",15:00:00,"Hibernian","Celtic",0,0,"D",0,0,"D","A Muir",6,21,1,4,4,12,3,6,0,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"53","1","SC0","28/10/2023",15:00:00,"Livingston","Dundee",0,2,"A",0,0,"D","W Collum",4,18,0,7,13,15,1,5,0,0,1,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"54","1","SC0","28/10/2023",15:00:00,"Motherwell","Ross County",3,3,"D",0,0,"D","G Grainger",13,13,3,6,10,9,6,4,2,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"55","1","SC0","28/10/2023",15:00:00,"St Mirren","St Johnstone",4,0,"H",1,0,"H","D Dickinson",9,14,5,3,9,5,4,8,2,0,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"56","1","SC0","29/10/2023",12:00:00,"Kilmarnock","Aberdeen",2,0,"H",1,0,"H","K Clancy",19,5,8,1,12,14,9,3,1,3,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"57","1","SC0","29/10/2023",15:00:00,"Rangers","Hearts",2,1,"H",0,1,"A","J Beaton",28,5,5,1,6,13,11,2,1,5,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"58","1","SC0","31/10/2023",19:45:00,"Hibernian","Ross County",2,2,"D",1,0,"H","G Irvine",7,8,2,3,12,16,5,5,1,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"59","1","SC0","01/11/2023",19:45:00,"Celtic","St Mirren",2,1,"H",1,1,"D","J Beaton",23,6,8,2,9,12,12,2,2,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"60","1","SC0","01/11/2023",19:45:00,"Dundee","Rangers",0,5,"A",0,1,"A","K Clancy",9,32,4,11,13,3,6,7,4,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"61","1","SC0","01/11/2023",19:45:00,"Hearts","Livingston",1,0,"H",0,0,"D","C Graham",25,3,10,0,9,12,12,1,2,4,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"62","1","SC0","01/11/2023",19:45:00,"Motherwell","Aberdeen",2,4,"A",0,2,"A","C Steven",9,15,2,6,14,6,1,4,6,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"63","1","SC0","01/11/2023",19:45:00,"St Johnstone","Kilmarnock",2,1,"H",2,0,"H","C Scott",15,23,4,5,13,9,5,12,2,2,1,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"64","1","SC0","04/11/2023",12:30:00,"Ross County","Celtic",0,3,"A",0,1,"A","D Munro",3,39,0,16,9,10,2,13,0,1,1,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"65","1","SC0","04/11/2023",15:00:00,"Kilmarnock","Motherwell",1,0,"H",0,0,"D","M MacDermid",20,11,8,1,9,12,9,3,2,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"66","1","SC0","05/11/2023",14:00:00,"Dundee","Livingston",1,0,"H",0,0,"D","A Muir",10,16,3,3,14,14,5,12,2,3,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"67","1","SC0","07/11/2023",19:45:00,"St Johnstone","Motherwell",2,2,"D",2,0,"H","E Anderson",10,11,3,5,11,18,6,7,1,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"68","1","SC0","08/11/2023",19:45:00,"St Mirren","Hibernian",2,2,"D",0,1,"A","S McLean",18,9,4,4,9,9,3,1,3,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"69","1","SC0","11/11/2023",15:00:00,"Dundee","St Mirren",4,0,"H",2,0,"H","M MacDermid",11,5,7,0,6,12,7,4,1,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
